,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,AAPL241220C00005000,2024-10-22 13:32:27+00:00,5.0,228.15,224.9,225.4,0.0,0.0,1,12,5.062503671875,True,REGULAR,USD
1,AAPL241220C00020000,2024-08-02 14:52:49+00:00,20.0,203.6,207.85,210.45,0.0,0.0,1,1,3.2080097924804685,True,REGULAR,USD
2,AAPL241220C00050000,2024-09-03 18:10:45+00:00,50.0,173.29,175.6,176.4,0.0,0.0,1,0,1.0000000000000003e-05,True,REGULAR,USD
3,AAPL241220C00055000,2024-09-12 17:40:42+00:00,55.0,168.8,172.35,173.4,0.0,0.0,2,124,1.0000000000000003e-05,True,REGULAR,USD
4,AAPL241220C00060000,2024-10-15 17:55:55+00:00,60.0,174.35,170.1,170.6,0.0,0.0,1,110,1.7084975512695313,True,REGULAR,USD
5,AAPL241220C00065000,2024-05-08 14:32:15+00:00,65.0,118.7,133.2,133.85,0.0,0.0,40,196,1.0000000000000003e-05,True,REGULAR,USD
6,AAPL241220C00070000,2024-09-10 19:14:08+00:00,70.0,151.56,158.8,160.4,0.0,0.0,2,31,1.5375999682617185,True,REGULAR,USD
7,AAPL241220C00075000,2024-07-25 16:50:04+00:00,75.0,146.58,151.75,154.1,0.0,0.0,1,62,1.0000000000000003e-05,True,REGULAR,USD
8,AAPL241220C00080000,2024-10-17 14:27:04+00:00,80.0,153.01,150.25,150.75,0.0,0.0,20,762,1.4033232958984376,True,REGULAR,USD
9,AAPL241220C00085000,2024-05-07 19:29:13+00:00,85.0,99.84,111.3,112.95,0.0,0.0,5,218,1.0000000000000003e-05,True,REGULAR,USD
10,AAPL241220C00090000,2024-09-23 19:06:13+00:00,90.0,145.22,140.2,140.8,7.6399994,5.553132,2,36,1.2583044897460938,True,REGULAR,USD
11,AAPL241220C00095000,2024-08-29 18:56:42+00:00,95.0,136.9,133.5,134.15,0.0,0.0,2,172,1.0000000000000003e-05,True,REGULAR,USD
12,AAPL241220C00100000,2024-09-20 17:22:15+00:00,100.0,131.95,135.15,136.2,0.0,0.0,25,202,1.7590344079589846,True,REGULAR,USD
13,AAPL241220C00105000,2024-09-17 14:54:21+00:00,105.0,113.05,127.05,127.85,0.0,0.0,1,70,1.3608430395507813,True,REGULAR,USD
14,AAPL241220C00110000,2024-10-16 19:44:45+00:00,110.0,122.35,120.5,121.05,0.0,0.0,1,523,1.0639695239257816,True,REGULAR,USD
15,AAPL241220C00115000,2024-10-18 19:09:54+00:00,115.0,121.17,115.7,116.2,0.0,0.0,5,779,1.0354052136230472,True,REGULAR,USD
16,AAPL241220C00120000,2024-10-23 16:24:05+00:00,120.0,111.6,110.6,111.15,-5.279999,-4.5174527,1,242,0.9682620361328125,True,REGULAR,USD
17,AAPL241220C00125000,2024-10-10 18:01:36+00:00,125.0,104.73,105.65,106.1,0.0,0.0,3,373,0.9152840502929689,True,REGULAR,USD
18,AAPL241220C00130000,2024-10-14 14:52:15+00:00,130.0,100.9,100.7,101.15,0.0,0.0,8,779,0.8710950390625,True,REGULAR,USD
19,AAPL241220C00135000,2024-10-17 14:49:39+00:00,135.0,97.3,95.8,96.15,0.0,0.0,1,490,0.8278825805664061,True,REGULAR,USD
20,AAPL241220C00140000,2024-10-18 18:06:06+00:00,140.0,96.74,90.9,91.25,0.0,0.0,32,3329,0.7917501293945313,True,REGULAR,USD
21,AAPL241220C00145000,2024-10-18 15:35:36+00:00,145.0,91.05,86.05,86.4,0.0,0.0,2,347,0.7609887182617189,True,REGULAR,USD
22,AAPL241220C00150000,2024-10-23 16:31:35+00:00,150.0,80.82,81.1,81.4,-2.4800034,-2.9771948,10,16784,0.71679970703125,True,REGULAR,USD
23,AAPL241220C00155000,2024-10-22 13:32:27+00:00,155.0,79.63,75.9,76.4,0.0,0.0,3,2222,0.6615024084472658,True,REGULAR,USD
24,AAPL241220C00160000,2024-10-23 16:31:52+00:00,160.0,70.71,71.1,71.5,-5.050003,-6.6657906,2,1058,0.6315954809570312,True,REGULAR,USD
25,AAPL241220C00165000,2024-10-21 15:52:41+00:00,165.0,72.5,66.15,66.65,0.0,0.0,7,1595,0.5964395825195312,True,REGULAR,USD
26,AAPL241220C00170000,2024-10-23 14:52:46+00:00,170.0,61.6,61.3,61.7,-5.169998,-7.742996,3,4385,0.5612836840820312,True,REGULAR,USD
27,AAPL241220C00175000,2024-10-23 13:57:01+00:00,175.0,61.45,56.35,56.8,-1.25,-1.9936204,2,4765,0.5241746801757812,True,REGULAR,USD
28,AAPL241220C00180000,2024-10-23 15:16:26+00:00,180.0,55.3,51.7,52.05,-2.5100021,-4.341813,4,8851,0.5018360363769532,True,REGULAR,USD
29,AAPL241220C00185000,2024-10-23 16:28:57+00:00,185.0,46.73,46.75,47.0,-5.5200005,-10.564594,33,8030,0.4666801379394532,True,REGULAR,USD
30,AAPL241220C00190000,2024-10-23 13:50:26+00:00,190.0,42.75,42.15,42.35,-4.700001,-9.905165,3,15167,0.4429987341308594,True,REGULAR,USD
31,AAPL241220C00195000,2024-10-23 16:29:55+00:00,195.0,37.15,37.4,37.65,-5.299999,-12.485275,62,9599,0.41425146301269533,True,REGULAR,USD
32,AAPL241220C00200000,2024-10-23 16:38:31+00:00,200.0,32.67,32.8,33.0,-5.3100014,-13.981046,70,11837,0.38556522644042956,True,REGULAR,USD
33,AAPL241220C00205000,2024-10-23 16:19:26+00:00,205.0,28.63,28.3,28.5,-5.1499996,-15.245707,25,4400,0.36023588989257804,True,REGULAR,USD
34,AAPL241220C00210000,2024-10-23 16:29:36+00:00,210.0,23.55,24.0,24.15,-5.25,-18.229168,300,9415,0.33661552062988287,True,REGULAR,USD
35,AAPL241220C00215000,2024-10-23 16:30:12+00:00,215.0,19.7,19.95,20.1,-5.049999,-20.404037,28,14283,0.31793894958496094,True,REGULAR,USD
36,AAPL241220C00220000,2024-10-23 16:30:52+00:00,220.0,16.0,16.2,16.35,-4.459999,-21.798628,95,19452,0.3018258294677735,True,REGULAR,USD
37,AAPL241220C00225000,2024-10-23 16:37:26+00:00,225.0,12.75,12.7,12.85,-4.049999,-24.10714,228,20301,0.284888742980957,True,REGULAR,USD
38,AAPL241220C00230000,2024-10-23 16:41:43+00:00,230.0,9.75,9.7,9.8,-3.4499998,-26.136362,628,18774,0.271217004699707,False,REGULAR,USD
39,AAPL241220C00235000,2024-10-23 16:38:21+00:00,235.0,7.2,7.15,7.25,-2.75,-27.638191,1511,17158,0.2606275109863281,False,REGULAR,USD
40,AAPL241220C00240000,2024-10-23 16:40:43+00:00,240.0,5.15,5.1,5.15,-2.2999997,-30.87248,1029,28043,0.2510450872802734,False,REGULAR,USD
41,AAPL241220C00245000,2024-10-23 16:42:27+00:00,245.0,3.45,3.4,3.5,-1.8,-34.351147,1503,13570,0.24250025085449217,False,REGULAR,USD
42,AAPL241220C00250000,2024-10-23 16:42:22+00:00,250.0,2.3,2.27,2.3,-1.1500001,-33.333336,1461,40630,0.23615265808105468,False,REGULAR,USD
43,AAPL241220C00255000,2024-10-23 16:39:34+00:00,255.0,1.48,1.45,1.48,-0.77,-34.22222,418,16069,0.2322464471435547,False,REGULAR,USD
44,AAPL241220C00260000,2024-10-23 16:39:00+00:00,260.0,0.9,0.89,0.92,-0.5400001,-37.500004,702,21889,0.22901161621093752,False,REGULAR,USD
45,AAPL241220C00265000,2024-10-23 16:37:48+00:00,265.0,0.57,0.56,0.59,-0.32,-35.955055,213,5541,0.229499892578125,False,REGULAR,USD
46,AAPL241220C00270000,2024-10-23 16:31:21+00:00,270.0,0.34,0.34,0.36,-0.20000002,-37.03704,21,13797,0.22876747802734376,False,REGULAR,USD
47,AAPL241220C00275000,2024-10-23 16:35:40+00:00,275.0,0.22,0.22,0.23,-0.110000014,-33.33334,412,13158,0.2309647216796875,False,REGULAR,USD
48,AAPL241220C00280000,2024-10-23 16:23:58+00:00,280.0,0.14,0.14,0.15,-0.06999999,-33.33333,44,11557,0.23389437988281248,False,REGULAR,USD
49,AAPL241220C00285000,2024-10-23 16:24:29+00:00,285.0,0.09,0.09,0.1,-0.029999994,-24.999994,50,10195,0.23780059082031246,False,REGULAR,USD
50,AAPL241220C00290000,2024-10-23 16:38:31+00:00,290.0,0.07,0.07,0.07,-0.020000003,-22.222223,16,17054,0.24268335449218748,False,REGULAR,USD
51,AAPL241220C00295000,2024-10-18 19:21:31+00:00,295.0,0.07,0.04,0.05,0.0,0.0,2,2678,0.24805439453125,False,REGULAR,USD
