,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,AAPL241220P00025000,2024-08-06 18:19:27+00:00,25.0,0.01,0.0,0.01,0.0,0.0,,95,1.625001875,False,REGULAR,USD
1,AAPL241220P00040000,2024-10-18 19:49:05+00:00,40.0,0.01,0.0,0.01,0.0,0.0,209.0,209,1.3125034374999998,False,REGULAR,USD
2,AAPL241220P00045000,2024-10-18 19:49:03+00:00,45.0,0.01,0.0,0.01,0.0,0.0,30.0,50,1.21875390625,False,REGULAR,USD
3,AAPL241220P00050000,2024-10-18 19:49:02+00:00,50.0,0.01,0.0,0.01,0.0,0.0,109.0,1975,1.125004375,False,REGULAR,USD
4,AAPL241220P00055000,2024-10-22 16:37:17+00:00,55.0,0.01,0.0,0.01,0.0,0.0,930.0,1364,1.0625046875000002,False,REGULAR,USD
5,AAPL241220P00060000,2024-10-22 16:37:16+00:00,60.0,0.01,0.0,0.01,0.0,0.0,1611.0,2236,0.98437515625,False,REGULAR,USD
6,AAPL241220P00065000,2024-10-22 16:36:46+00:00,65.0,0.01,0.0,0.01,0.0,0.0,100.0,1915,0.937500625,False,REGULAR,USD
7,AAPL241220P00070000,2024-10-22 16:36:45+00:00,70.0,0.01,0.0,0.01,0.0,0.0,100.0,1449,0.87500125,False,REGULAR,USD
8,AAPL241220P00075000,2024-10-22 18:58:20+00:00,75.0,0.01,0.0,0.01,0.0,0.0,1.0,1406,0.8437515624999999,False,REGULAR,USD
9,AAPL241220P00080000,2024-10-23 15:05:23+00:00,80.0,0.02,0.01,0.03,0.01,100.0,10.0,1288,0.8828136718749999,False,REGULAR,USD
10,AAPL241220P00085000,2024-10-21 17:44:42+00:00,85.0,0.01,0.01,0.03,0.0,0.0,35.0,1407,0.8359391406249999,False,REGULAR,USD
11,AAPL241220P00090000,2024-10-08 14:04:51+00:00,90.0,0.02,0.01,0.03,0.0,0.0,2.0,2994,0.789064609375,False,REGULAR,USD
12,AAPL241220P00095000,2024-10-16 15:31:15+00:00,95.0,0.03,0.02,0.04,0.0,0.0,1.0,1166,0.773439765625,False,REGULAR,USD
13,AAPL241220P00100000,2024-10-16 18:54:40+00:00,100.0,0.02,0.02,0.03,0.0,0.0,31.0,2124,0.7187528125,False,REGULAR,USD
14,AAPL241220P00105000,2024-10-22 14:06:49+00:00,105.0,0.04,0.03,0.05,0.0,0.0,20.0,757,0.7070341796875,False,REGULAR,USD
15,AAPL241220P00110000,2024-10-23 16:28:10+00:00,110.0,0.05,0.04,0.05,0.010000002,25.000004,2.0,1251,0.6757844921875001,False,REGULAR,USD
16,AAPL241220P00115000,2024-10-21 17:42:09+00:00,115.0,0.05,0.04,0.06,0.0,0.0,1.0,1767,0.6445348046875,False,REGULAR,USD
17,AAPL241220P00120000,2024-10-23 13:37:30+00:00,120.0,0.05,0.05,0.07,0.0,0.0,60.0,6402,0.6210975390625001,False,REGULAR,USD
18,AAPL241220P00125000,2024-10-23 13:38:44+00:00,125.0,0.06,0.06,0.08,-0.010000002,-14.285716,50.0,8966,0.5937540625000001,False,REGULAR,USD
19,AAPL241220P00130000,2024-10-23 16:13:13+00:00,130.0,0.09,0.07,0.09,0.030000005,50.000008,12.0,6316,0.567387138671875,False,REGULAR,USD
20,AAPL241220P00135000,2024-10-23 16:05:43+00:00,135.0,0.09,0.09,0.1,0.0,0.0,12.0,3589,0.5429733203125001,False,REGULAR,USD
21,AAPL241220P00140000,2024-10-23 14:52:33+00:00,140.0,0.1,0.1,0.12,0.009999998,11.111108,3.0,7267,0.5185595019531251,False,REGULAR,USD
22,AAPL241220P00145000,2024-10-23 16:10:44+00:00,145.0,0.12,0.12,0.13,0.009999998,9.090907,19.0,3766,0.49609878906250005,False,REGULAR,USD
23,AAPL241220P00150000,2024-10-23 14:34:25+00:00,150.0,0.12,0.14,0.16,-0.009999998,-7.692306,2.0,7937,0.47559118164062497,False,REGULAR,USD
24,AAPL241220P00155000,2024-10-23 14:14:46+00:00,155.0,0.15,0.17,0.19,0.010000005,7.1428604,1.0,3902,0.45313046875,False,REGULAR,USD
25,AAPL241220P00160000,2024-10-23 15:52:02+00:00,160.0,0.18,0.2,0.21,0.0,0.0,1.0,11226,0.42676354492187507,False,REGULAR,USD
26,AAPL241220P00165000,2024-10-22 19:10:53+00:00,165.0,0.21,0.24,0.25,0.0,0.0,7.0,8782,0.405279384765625,False,REGULAR,USD
27,AAPL241220P00170000,2024-10-22 19:49:29+00:00,170.0,0.24,0.29,0.3,0.0,0.0,10149.0,18060,0.3845276391601562,False,REGULAR,USD
28,AAPL241220P00175000,2024-10-23 16:04:24+00:00,175.0,0.37,0.35,0.37,0.06999999,23.33333,20.0,9044,0.36524072265625,False,REGULAR,USD
29,AAPL241220P00180000,2024-10-23 16:13:13+00:00,180.0,0.45,0.44,0.45,0.119999975,36.363625,134.0,17352,0.34497725341796875,False,REGULAR,USD
30,AAPL241220P00185000,2024-10-23 16:36:23+00:00,185.0,0.55,0.55,0.57,0.13000003,30.952389,82.0,12225,0.32739930419921875,False,REGULAR,USD
31,AAPL241220P00190000,2024-10-23 16:41:56+00:00,190.0,0.73,0.72,0.74,0.23000002,45.098045,241.0,26812,0.3110420458984374,False,REGULAR,USD
32,AAPL241220P00195000,2024-10-23 16:37:26+00:00,195.0,0.98,0.96,0.98,0.36,58.064514,355.0,8033,0.29614961669921874,False,REGULAR,USD
33,AAPL241220P00200000,2024-10-23 16:42:25+00:00,200.0,1.32,1.3,1.33,0.50000006,60.240974,1523.0,17980,0.2830882238769531,False,REGULAR,USD
34,AAPL241220P00205000,2024-10-23 16:35:06+00:00,205.0,1.82,1.78,1.82,0.68000007,59.64913,374.0,8192,0.2710033837890625,False,REGULAR,USD
35,AAPL241220P00210000,2024-10-23 16:40:36+00:00,210.0,2.46,2.45,2.49,0.93000007,60.78432,592.0,23470,0.2594678546142578,False,REGULAR,USD
36,AAPL241220P00215000,2024-10-23 16:42:04+00:00,215.0,3.4,3.35,3.4,1.3000002,61.904774,409.0,10221,0.24848163635253906,False,REGULAR,USD
37,AAPL241220P00220000,2024-10-23 16:37:19+00:00,220.0,4.65,4.55,4.65,1.72,58.70307,1605.0,13592,0.23908231628417967,False,REGULAR,USD
38,AAPL241220P00225000,2024-10-23 16:35:33+00:00,225.0,6.16,6.1,6.2,2.1299996,52.85359,622.0,12981,0.2278519598388672,False,REGULAR,USD
